no,name,심평원 평가,학회 인증,address,phone,region,type,dialysis_machines,has_dialysis_unit,night_dialysis,dialysis_days,naver_map_url,kakao_map_url,lat,lng,coord_source,updated_at,hira_grade,ksn_certified,ksn_cert_date,specialist_count,specialists,nephrology_doctor,is_dialysis_specialist
12,건국대학교병원,O,O,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,서울,병원/의원,41,1,0,,https://map.naver.com/v5/search/%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B1%B4%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,37.5403764,127.0718276,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-03-23,5,"조영일,조아진,이지영,김경원,장유경","조영일,조아진,이지영,김경원,장유경",1
13,경북대학교병원,O,O,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,대구,병원/의원,54,1,0,,https://map.naver.com/v5/search/%EA%B2%BD%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B2%BD%EB%B6%81%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,35.8662525,128.604703,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2025-12-01,7,"김찬덕,조장희,정희연,배호상,전유현,조민현,박민지","박선희,김찬덕,조장희,정희연,배호상,전유현,조민현,박민지",1
14,경상국립대학교병원,O,#N/A (),"경상남도 진주시 강남로 79, (칠암동)",055-750-8000,경남,병원/의원,50,1,0,,https://map.naver.com/v5/search/%EA%B2%BD%EC%83%81%EA%B5%AD%EB%A6%BD%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B2%BD%EC%83%81%EA%B5%AD%EB%A6%BD%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,35.1759944,128.0964924,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-02-24,5,"장세호,김현정,이승혜,전혜진,장하니","장세호,김현정,이승혜,정세현,전혜진,장하니",1
15,경찰병원,O,O,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",02-3400-1114,서울,병원/의원,49,1,0,,https://map.naver.com/v5/search/%EA%B2%BD%EC%B0%B0%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B2%BD%EC%B0%B0%EB%B3%91%EC%9B%90,37.4963836,127.1235089,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-01-02,2,"이세한,박지현","이세한,박지현",1
16,경희대학교병원,O,O,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,서울,병원/의원,47,1,0,,https://map.naver.com/v5/search/%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,37.5941195,127.051852,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-01-09,4,"정경환,황현석,김진숙,윤수영","정경환,황현석,김진숙,윤수영,김현규,이정연",1
17,계명대학교동산병원,O,#N/A (),"대구광역시 달서구 달구벌대로 1035, (신당동)",1577-6622,대구,병원/의원,92,1,0,,https://map.naver.com/v5/search/%EA%B3%84%EB%AA%85%EB%8C%80%ED%95%99%EA%B5%90%EB%8F%99%EC%82%B0%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B3%84%EB%AA%85%EB%8C%80%ED%95%99%EA%B5%90%EB%8F%99%EC%82%B0%EB%B3%91%EC%9B%90,35.8538856,128.4801315,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
18,고려대학교의과대학부속구로병원,O,#N/A (),"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,서울,병원/의원,57,1,0,,https://map.naver.com/v5/search/%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EA%B5%AC%EB%A1%9C%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EA%B5%AC%EB%A1%9C%EB%B3%91%EC%9B%90,37.492052,126.8848701,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
19,고려대학교의과대학부속안산병원,O,#N/A (),"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,경기,병원/의원,41,1,0,,https://map.naver.com/v5/search/%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EC%95%88%EC%82%B0%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EC%95%88%EC%82%B0%EB%B3%91%EC%9B%90,37.3185144,126.8249033,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
20,고신대학교복음병원,O,#N/A (),"부산광역시 서구 감천로 262, (암남동)",990-6114,부산,병원/의원,50,1,0,,https://map.naver.com/v5/search/%EA%B3%A0%EC%8B%A0%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%B5%EC%9D%8C%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B3%A0%EC%8B%A0%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%B5%EC%9D%8C%EB%B3%91%EC%9B%90,35.0809636,129.0139595,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-04-01,4,"임학,정연순,신호식,김예나","임학,정연순,신호식,김예나",1
21,광주일곡병원,O,#N/A (),"광주광역시 북구 양일로 309,  (일곡동)",062-608-7000,광주,병원/의원,17,1,0,,https://map.naver.com/v5/search/%EA%B4%91%EC%A3%BC%EC%9D%BC%EA%B3%A1%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B4%91%EC%A3%BC%EC%9D%BC%EA%B3%A1%EB%B3%91%EC%9B%90,35.2028543,126.8976135,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
22,구로성심병원,O,O,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",02-2067-1500,서울,병원/의원,43,1,0,,https://map.naver.com/v5/search/%EA%B5%AC%EB%A1%9C%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B5%AC%EB%A1%9C%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90,37.4996715,126.8664159,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-03-18,0,,이승언,0
23,국민건강보험공단일산병원,O,#N/A (),"경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)",1577-0013,경기,병원/의원,162,1,0,,https://map.naver.com/v5/search/%EA%B5%AD%EB%AF%BC%EA%B1%B4%EA%B0%95%EB%B3%B4%ED%97%98%EA%B3%B5%EB%8B%A8%EC%9D%BC%EC%82%B0%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B5%AD%EB%AF%BC%EA%B1%B4%EA%B0%95%EB%B3%B4%ED%97%98%EA%B3%B5%EB%8B%A8%EC%9D%BC%EC%82%B0%EB%B3%91%EC%9B%90,37.6454754,126.7930401,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-01-15,4,"장태익,김재영,이용규,박경숙","장태익,김재영,이용규,박경숙",1
24,단국대학교의과대학부속병원,O,#N/A (),"충청남도 천안시 동남구 망향로 201,  (안서동)",041-1588-0063,충남,병원/의원,43,1,0,,https://map.naver.com/v5/search/%EB%8B%A8%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%8B%A8%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EB%B3%91%EC%9B%90,36.8415904,127.172575,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
25,대구가톨릭대학교병원,O,X,"대구광역시 남구 두류공원로17길 33, (대명동)",053-650-3000,대구,병원/의원,94,1,0,,https://map.naver.com/v5/search/%EB%8C%80%EA%B5%AC%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%8C%80%EA%B5%AC%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,35.8436078,128.5679969,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2026-03-13,3,"이인희,조성,김성규","이인희,조성,김성규",1
26,대명앰알씨티의원,O,#N/A (),"서울특별시 영등포구 양평로 99, 지하1,2-5층 (양평동4가)",02-2633-0007,서울,병원/의원,,1,0,,https://map.naver.com/v5/search/%EB%8C%80%EB%AA%85%EC%95%B0%EC%95%8C%EC%94%A8%ED%8B%B0%EC%9D%98%EC%9B%90,https://map.kakao.com/?q=%EB%8C%80%EB%AA%85%EC%95%B0%EC%95%8C%EC%94%A8%ED%8B%B0%EC%9D%98%EC%9B%90,#N/A (),#N/A (),Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
27,대전보훈병원,O,X,"대전광역시 대덕구 대청로82번길 147, 147",042-939-0111,대전,병원/의원,19,1,0,,https://map.naver.com/v5/search/%EB%8C%80%EC%A0%84%EB%B3%B4%ED%9B%88%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%8C%80%EC%A0%84%EB%B3%B4%ED%9B%88%EB%B3%91%EC%9B%90,36.4473355,127.4396417,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2026-05-26,3,"정지윤,이종인,박미란","정지윤,이종인,박미란",1
28,대진의료재단 분당제생병원,O,#N/A (),"경기도 성남시 분당구 서현로180번길 20, (서현동)",031-779-0114,경기,병원/의원,65,1,0,,https://map.naver.com/v5/search/%EB%8C%80%EC%A7%84%EC%9D%98%EB%A3%8C%EC%9E%AC%EB%8B%A8%20%EB%B6%84%EB%8B%B9%EC%A0%9C%EC%83%9D%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%8C%80%EC%A7%84%EC%9D%98%EB%A3%8C%EC%9E%AC%EB%8B%A8%20%EB%B6%84%EB%8B%B9%EC%A0%9C%EC%83%9D%EB%B3%91%EC%9B%90,37.3882035,127.1217783,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-01-15,2,"정윤철,이승찬","정윤철,이장한,최용선,이승찬,김수근",1
29,독산내과의원,O,#N/A (),"서울특별시 금천구 남부순환로 1372, (독산동)",02-855-3482,서울,병원/의원,19,1,0,,https://map.naver.com/v5/search/%EB%8F%85%EC%82%B0%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,https://map.kakao.com/?q=%EB%8F%85%EC%82%B0%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,37.4794589,126.9034727,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-03-26,1,한상우,한상우,1
30,동국대학교일산불교병원,O,#N/A (),"경기도 고양시 일산동구 동국로 27, (식사동, 동국대학교일산병원)",031-1577-7000,경기,병원/의원,35,1,0,,https://map.naver.com/v5/search/%EB%8F%99%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%BC%EC%82%B0%EB%B6%88%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%8F%99%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%BC%EC%82%B0%EB%B6%88%EA%B5%90%EB%B3%91%EC%9B%90,37.6763969,126.8064233,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2025-06-25,3,"이장욱,장예진,정윤아","신성준,박재윤,이장욱,송정인,장예진,정윤아",1
31,동아대학교병원,O,X,"부산광역시 서구 대신공원로 26, (동대신동3가)",051-240-2400,부산,병원/의원,47,1,0,,https://map.naver.com/v5/search/%EB%8F%99%EC%95%84%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%8F%99%EC%95%84%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,35.1201682,129.0175391,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2026-03-06,5,"김성은,안원석,이수미,양동은,이혜정","김성은,안원석,이수미,양동은,이혜정,김진경",1
32,동탄서울내과의원,O,X,"경기도 화성시 동탄구 동탄순환대로 127-5, 우성센트럴타워 309~314호, 501~511호 (산척동)",031-831-8363,경기,병원/의원,42,1,0,,https://map.naver.com/v5/search/%EB%8F%99%ED%83%84%EC%84%9C%EC%9A%B8%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,https://map.kakao.com/?q=%EB%8F%99%ED%83%84%EC%84%9C%EC%9A%B8%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,37.1660595,127.1072823,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2025-06-02,2,"조성근,김진경","조성근,김진경",1
33,바로준내과의원,O,X,"경기도 수원시 팔달구 중부대로 110, 한라시그마팰리스 107, 217, 307호 (인계동)",031-221-1341,경기,병원/의원,47,1,0,,https://map.naver.com/v5/search/%EB%B0%94%EB%A1%9C%EC%A4%80%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,https://map.kakao.com/?q=%EB%B0%94%EB%A1%9C%EC%A4%80%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,37.2774567,127.0288321,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2025-12-10,2,"황성준,오지은","황성준,오지은",1
34,부민병원,O,#N/A (),"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",1577-7582,서울,병원/의원,34,1,0,,https://map.naver.com/v5/search/%EB%B6%80%EB%AF%BC%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%B6%80%EB%AF%BC%EB%B3%91%EC%9B%90,37.556866,126.8509273,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2026-03-23,1,김혜인,김혜인,1
35,부산대학교병원,O,O,"부산광역시 서구 구덕로 179, (아미동1가)",240-7000,부산,병원/의원,57,1,0,,https://map.naver.com/v5/search/%EB%B6%80%EC%82%B0%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%B6%80%EC%82%B0%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,35.1008477,129.0188032,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2025-10-30,5,"송상헌,성은영,이하린,김효진,김다운","송상헌,성은영,이하린,김효진,김다운",1
36,분당서울대학교병원,O,#N/A (),"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,경기,병원/의원,55,1,0,,https://map.naver.com/v5/search/%EB%B6%84%EB%8B%B9%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EB%B6%84%EB%8B%B9%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,37.3519807,127.1232509,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-03-30,3,"진호준,김세중,권은정","나기영,진호준,김세중,정종철,박석우,권은정",1
37,삼성서울병원,O,#N/A (),"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,서울,병원/의원,65,1,0,,https://map.naver.com/v5/search/%EC%82%BC%EC%84%B1%EC%84%9C%EC%9A%B8%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EC%82%BC%EC%84%B1%EC%84%9C%EC%9A%B8%EB%B3%91%EC%9B%90,37.4882977,127.0851508,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2026-02-02,5,"장혜련,김윤구,허우성,송승민,김민형","장혜련,김윤구,허우성,송승민,김민형",1
38,새본내과의원,O,X,"서울특별시 강서구 등촌로 183, 2층 (등촌동, 세스빌딩)",02-2649-0875,서울,병원/의원,20,1,0,,https://map.naver.com/v5/search/%EC%83%88%EB%B3%B8%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,https://map.kakao.com/?q=%EC%83%88%EB%B3%B8%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,37.5462518,126.862271,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2026-01-21,1,황규남,황규남,1
39,서울대학교병원,O,O,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,서울,병원/의원,91,1,0,,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,37.5797151,126.9990168,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-02-23,6,"김연수,주권욱,오국환,김동기,이하정,윤동환","김연수,주권욱,오국환,김동기,이하정,한승석,윤동환",1
40,서울본내과의원,O,O,"서울특별시 마포구 양화로 133, 서교타워 3,5,18층 (서교동)",02-3143-2220,서울,병원/의원,32,1,0,,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EB%B3%B8%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,https://map.kakao.com/?q=%EC%84%9C%EC%9A%B8%EB%B3%B8%EB%82%B4%EA%B3%BC%EC%9D%98%EC%9B%90,37.5552513,126.9209815,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2025-05-28,3,"김혜원,오정선,조우리","김혜원,오정선,조우리",1
41,서울성심병원,O,O,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",02-966-1616,서울,병원/의원,16,1,0,,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EC%84%9C%EC%9A%B8%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90,37.5843076,127.0497296,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-02-23,1,장효정,장효정,1
42,서울특별시보라매병원,O,#N/A (),"서울특별시 동작구 보라매로5길 20, (신대방동)",02-870-2114,서울,병원/의원,70,1,0,,https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%B3%91%EC%9B%90,37.4934414,126.9239058,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-03-17,4,"임춘수,오윤규,이정표,이정환","임춘수,오윤규,이정표,이정환",1
